company_id,name,region,website,rating,reviews,quality_tier
98811462-cfde-42be-8e9d-a1e84f750962,Company_98811462,India,https://www.98811462.com,4.7,206,Good
8f615aad-cb81-48b4-83e4-963682d5aeab,Company_8f615aad,Germany,https://www.8f615aad.com,3.8,19,Medium
70e71ca8-738f-4e72-9e8e-68aea3216d13,Company_70e71ca8,UAE,,1.9,9,Poor
331be5e5-95ac-4608-8c7c-67908355a73e,Company_331be5e5,USA,,1.7,10,Poor
046fa1f1-7446-4a0e-a9af-98fb3515fb33,Company_046fa1f1,USA,,1.2,1,Poor
f733f314-77e4-4ae1-a5d3-81a482c598b1,Company_f733f314,Netherlands,https://www.f733f314.com,4.8,167,Good
bc28cd10-8571-48d7-a00d-9fae0008fb4a,Company_bc28cd10,Germany,https://www.bc28cd10.com,4.6,448,Good
a69d0a63-b388-4c70-b8ae-5845628de53f,Company_a69d0a63,Singapore,,2.5,50,Medium
5db07c19-71e0-46f8-9c0e-98ea63cb9838,Company_5db07c19,France,https://www.5db07c19.com,4.4,171,Good
50fed773-f08f-417e-8fe2-0d5cf0687980,Company_50fed773,France,,1.0,4,Poor
9f004b86-0ed8-4a23-8b98-8fcb182e86f7,Company_9f004b86,Saudi Arabia,,2.9,17,Medium
8f556913-cb80-47ec-b371-469804108ce3,Company_8f556913,Qatar,https://www.8f556913.com,4.1,316,Good
8f44a040-79a8-4759-8cad-6752e232a372,Company_8f44a040,Qatar,https://www.8f44a040.com,3.7,27,Medium
f5b80feb-3fd1-4f7e-92c4-658f2d39933c,Company_f5b80feb,USA,,2.8,27,Medium
b9676e7b-cfa8-49ef-8c29-c88135ba2deb,Company_b9676e7b,India,https://www.b9676e7b.com,4.9,447,Good
4e1270c0-6a9e-4930-a727-9957baba5897,Company_4e1270c0,UAE,https://www.4e1270c0.com,3.2,14,Medium
e7771f76-08ab-4bbb-9e18-683eda29295e,Company_e7771f76,India,https://www.e7771f76.com,4.1,466,Good
bd68a4a0-bec4-4f80-a897-7202f3b9393f,Company_bd68a4a0,UAE,,1.6,3,Poor
